hs_8digit;hs_92_origin;description;excluded;source;mapping_method
30059010;3005.90;Wadding, gauze, bandages and the like;1;WTO ATC Annex;both
30059050;3005.90;Wadding, gauze, bandages and the like;1;WTO ATC Annex;both
50040000;5004.00;Silk yarn (other than yarn spun from silk waste) not put up for retail sale;0;WTO ATC Annex;both
50050000;5005.00;Yarn spun from silk waste, not put up for retail sale;0;WTO ATC Annex;both
50060010;5006.00;"Silk yarn & yarn spun from silk waste, put up f retail sale; silk-worm gut";0;WTO ATC Annex;both
50060090;5006.00;"Silk yarn & yarn spun from silk waste, put up f retail sale; silk-worm gut";0;WTO ATC Annex;both
50071030;5007.10;Woven fabrics of noil silk;0;WTO ATC Annex;both
50071060;5007.10;Woven fabrics of noil silk;0;WTO ATC Annex;both
50072000;5007.20;Woven fabrics of silk/silk waste, other than noil silk, 85%/more of such fibres;0;WTO ATC Annex;both
50079030;5007.90;Woven fabrics of silk, nes;0;WTO ATC Annex;both
50079060;5007.90;Woven fabrics of silk, nes;0;WTO ATC Annex;both
51051000;5105.10;Carded wool;0;WTO ATC Annex;both
51052100;5105.21;Combed wool in fragments;0;WTO ATC Annex;both
51052900;5105.29;Wool tops and other combed wool, other than combed wool in fragments;0;WTO ATC Annex;both
51053100;5105.30;Fine animal hair, carded or combed;0;WTO ATC Annex;concordance
51053900;5105.30;Fine animal hair, carded or combed;0;WTO ATC Annex;concordance
51061000;5106.10;Yarn of carded wool,>/=85% by weight of wool, nt put up for retail sale;0;WTO ATC Annex;both
51062000;5106.20;Yarn of carded, wool,<85% by weight of wool, not put up for retail sale;0;WTO ATC Annex;both
51071030;5107.10;Yarn of combed wool,>/=85% by weight of wool, not put up for retail sale;0;WTO ATC Annex;both
51071060;5107.10;Yarn of combed wool,>/=85% by weight of wool, not put up for retail sale;0;WTO ATC Annex;both
51072030;5107.20;Yarn of combed wool,<85% by weight of wool, not put up for retail sale;0;WTO ATC Annex;both
51072060;5107.20;Yarn of combed wool,<85% by weight of wool, not put up for retail sale;0;WTO ATC Annex;both
51081030;5108.10;Yarn of carded fine animal hair, not put up for retail sale;0;WTO ATC Annex;both
51081040;5108.10;Yarn of carded fine animal hair, not put up for retail sale;0;WTO ATC Annex;both
51081080;5108.10;Yarn of carded fine animal hair, not put up for retail sale;0;WTO ATC Annex;both
51082030;5108.20;Yarn of combed fine animal hair, not put up for retail sale;0;WTO ATC Annex;both
51082040;5108.20;Yarn of combed fine animal hair, not put up for retail sale;0;WTO ATC Annex;both
51082080;5108.20;Yarn of combed fine animal hair, not put up for retail sale;0;WTO ATC Annex;both
51091020;5109.10;Yarn of wool/of fine animal hair,>/=85% by weight of such fibres, put up;0;WTO ATC Annex;both
51091040;5109.10;Yarn of wool/of fine animal hair,>/=85% by weight of such fibres, put up;0;WTO ATC Annex;both
51091080;5109.10;Yarn of wool/of fine animal hair,>/=85% by weight of such fibres, put up;0;WTO ATC Annex;both
51091090;5109.10;Yarn of wool/of fine animal hair,>/=85% by weight of such fibres, put up;0;WTO ATC Annex;both
51099020;5109.90;Yarn of wool/of fine animal hair,<85% by weight of such fibres, put up;0;WTO ATC Annex;both
51099040;5109.90;Yarn of wool/of fine animal hair,<85% by weight of such fibres, put up;0;WTO ATC Annex;both
51099080;5109.90;Yarn of wool/of fine animal hair,<85% by weight of such fibres, put up;0;WTO ATC Annex;both
51099090;5109.90;Yarn of wool/of fine animal hair,<85% by weight of such fibres, put up;0;WTO ATC Annex;both
51100000;5110.00;Yarn of coarse animal hair or of horsehair;0;WTO ATC Annex;both
51111120;5111.11;Woven fabrics of carded wool/fine animal hair,>/=85% by weight,</=300 g/m2;0;WTO ATC Annex;both
51111130;5111.11;Woven fabrics of carded wool/fine animal hair,>/=85% by weight,</=300 g/m2;0;WTO ATC Annex;both
51111170;5111.11;Woven fabrics of carded wool/fine animal hair,>/=85% by weight,</=300 g/m2;0;WTO ATC Annex;both
51111910;5111.19;Woven fabrics of carded wool/fine animal hair,>/=85% by weight,>300 g/m2;0;WTO ATC Annex;both
51111920;5111.19;Woven fabrics of carded wool/fine animal hair,>/=85% by weight,>300 g/m2;0;WTO ATC Annex;both
51111960;5111.19;Woven fabrics of carded wool/fine animal hair,>/=85% by weight,>300 g/m2;0;WTO ATC Annex;both
51112005;5111.20;"Woven fabric of carded wool/fine animal hair,<85% by
                weight, mixed with m-m filament";0;WTO ATC Annex;both
51112010;5111.20;"Woven fabric of carded wool/fine animal hair,<85% by
                weight, mixed with m-m filament";0;WTO ATC Annex;both
51112090;5111.20;"Woven fabric of carded wool/fine animal hair,<85% by
                weight, mixed with m-m filament";0;WTO ATC Annex;both
51113005;5111.30;"Woven fabric of carded wool/fine animal hair,<85% by
                weight, mixed with m-m fibre";0;WTO ATC Annex;both
51113010;5111.30;"Woven fabric of carded wool/fine animal hair,<85% by
                weight, mixed with m-m fibre";0;WTO ATC Annex;both
51113090;5111.30;"Woven fabric of carded wool/fine animal hair,<85% by
                weight, mixed with m-m fibre";0;WTO ATC Annex;both
51119030;5111.90;Woven fabrics of carded wool/fine animal hair,<85% by weight, nes;0;WTO ATC Annex;both
51119040;5111.90;Woven fabrics of carded wool/fine animal hair,<85% by weight, nes;0;WTO ATC Annex;both
51119050;5111.90;Woven fabrics of carded wool/fine animal hair,<85% by weight, nes;0;WTO ATC Annex;both
51119090;5111.90;Woven fabrics of carded wool/fine animal hair,<85% by weight, nes;0;WTO ATC Annex;both
51121110;5112.11;Woven fabric of combed wool/fine animal hair,>/=85% by weight,</=200 g/m2;0;WTO ATC Annex;both
51121130;5112.11;Woven fabric of combed wool/fine animal hair,>/=85% by weight,</=200 g/m2;0;WTO ATC Annex;both
51121160;5112.11;Woven fabric of combed wool/fine animal hair,>/=85% by weight,</=200 g/m2;0;WTO ATC Annex;both
51121920;5112.19;Woven fabrics of combed wool/fine animal hair,>/=85% by weight,>200 g/m2;0;WTO ATC Annex;both
51121960;5112.19;Woven fabrics of combed wool/fine animal hair,>/=85% by weight,>200 g/m2;0;WTO ATC Annex;both
51121995;5112.19;Woven fabrics of combed wool/fine animal hair,>/=85% by weight,>200 g/m2;0;WTO ATC Annex;both
51122010;5112.20;"Woven fabrics of combed wool/fine animal hair,<85% by
                weight, mixed with m-m filament";0;WTO ATC Annex;both
51122020;5112.20;"Woven fabrics of combed wool/fine animal hair,<85% by
                weight, mixed with m-m filament";0;WTO ATC Annex;both
51122030;5112.20;"Woven fabrics of combed wool/fine animal hair,<85% by
                weight, mixed with m-m filament";0;WTO ATC Annex;both
51123010;5112.30;"Woven fabrics of combed wool/fine animal hair,<85% by
                weight, mixed with m-m fibre";0;WTO ATC Annex;both
51123020;5112.30;"Woven fabrics of combed wool/fine animal hair,<85% by
                weight, mixed with m-m fibre";0;WTO ATC Annex;both
