hs_8digit,import_origin,compliance_rate,comment
01012100,CAN,1,USITC DataWeb Jul-Sep 2025
01012900,CAN,0.997,USITC DataWeb Jul-Sep 2025
01019040,CAN,0,USITC DataWeb Jul-Sep 2025
01022100,CAN,0.9962,USITC DataWeb Jul-Sep 2025
01022920,CAN,1,USITC DataWeb Jul-Sep 2025
01022940,CAN,1,USITC DataWeb Jul-Sep 2025
01023900,CAN,1,USITC DataWeb Jul-Sep 2025
01039100,CAN,0.9939,USITC DataWeb Jul-Sep 2025
01039200,CAN,1,USITC DataWeb Jul-Sep 2025
01041000,CAN,1,USITC DataWeb Jul-Sep 2025
01051100,CAN,1,USITC DataWeb Jul-Sep 2025
01051200,CAN,1,USITC DataWeb Jul-Sep 2025
01051300,CAN,1,USITC DataWeb Jul-Sep 2025
01051400,CAN,1,USITC DataWeb Jul-Sep 2025
01059400,CAN,1,USITC DataWeb Jul-Sep 2025
01059900,CAN,1,USITC DataWeb Jul-Sep 2025
01061300,CAN,1,USITC DataWeb Jul-Sep 2025
01061400,CAN,0.9695,USITC DataWeb Jul-Sep 2025
01061991,CAN,0.9961,USITC DataWeb Jul-Sep 2025
01062000,CAN,0.8776,USITC DataWeb Jul-Sep 2025
01063901,CAN,1,USITC DataWeb Jul-Sep 2025
01064100,CAN,1,USITC DataWeb Jul-Sep 2025
01064900,CAN,0.9775,USITC DataWeb Jul-Sep 2025
01069001,CAN,1,USITC DataWeb Jul-Sep 2025
02011010,CAN,1,USITC DataWeb Jul-Sep 2025
02011050,CAN,1,USITC DataWeb Jul-Sep 2025
02012010,CAN,1,USITC DataWeb Jul-Sep 2025
02012050,CAN,1,USITC DataWeb Jul-Sep 2025
02012080,CAN,1,USITC DataWeb Jul-Sep 2025
02013010,CAN,1,USITC DataWeb Jul-Sep 2025
02013030,CAN,1,USITC DataWeb Jul-Sep 2025
02013050,CAN,1,USITC DataWeb Jul-Sep 2025
02013080,CAN,1,USITC DataWeb Jul-Sep 2025
02022050,CAN,1,USITC DataWeb Jul-Sep 2025
02022080,CAN,1,USITC DataWeb Jul-Sep 2025
02023010,CAN,1,USITC DataWeb Jul-Sep 2025
02023030,CAN,1,USITC DataWeb Jul-Sep 2025
02023050,CAN,1,USITC DataWeb Jul-Sep 2025
02023080,CAN,1,USITC DataWeb Jul-Sep 2025
02031210,CAN,1,USITC DataWeb Jul-Sep 2025
02031290,CAN,1,USITC DataWeb Jul-Sep 2025
02031920,CAN,1,USITC DataWeb Jul-Sep 2025
02031940,CAN,1,USITC DataWeb Jul-Sep 2025
02032210,CAN,1,USITC DataWeb Jul-Sep 2025
02032290,CAN,1,USITC DataWeb Jul-Sep 2025
02032920,CAN,1,USITC DataWeb Jul-Sep 2025
02032940,CAN,0.9955,USITC DataWeb Jul-Sep 2025
02041000,CAN,1,USITC DataWeb Jul-Sep 2025
02042220,CAN,1,USITC DataWeb Jul-Sep 2025
02044320,CAN,1,USITC DataWeb Jul-Sep 2025
02050000,CAN,1,USITC DataWeb Jul-Sep 2025
02061000,CAN,1,USITC DataWeb Jul-Sep 2025
02062100,CAN,1,USITC DataWeb Jul-Sep 2025
02062200,CAN,1,USITC DataWeb Jul-Sep 2025
02062900,CAN,1,USITC DataWeb Jul-Sep 2025
02063000,CAN,0.9981,USITC DataWeb Jul-Sep 2025
02064100,CAN,1,USITC DataWeb Jul-Sep 2025
02064900,CAN,0.978,USITC DataWeb Jul-Sep 2025
02069000,CAN,1,USITC DataWeb Jul-Sep 2025
02071100,CAN,1,USITC DataWeb Jul-Sep 2025
02071200,CAN,1,USITC DataWeb Jul-Sep 2025
02071300,CAN,1,USITC DataWeb Jul-Sep 2025
