hs_8digit;origin;rate;;;;;;
28452000;List 1;25;;;;;;
28453000;List 1;25;;;;;;
28454000;List 1;25;;;;;;
28459001;List 1;25;;;;;;
40113000;List 1;25;;;;;;
40121300;List 1;25;;;;;;
84011000;List 1;25;;;;;;
84012000;List 1;25;;;;;;
84013000;List 1;25;;;;;;
84014000;List 1;25;;;;;;
84021100;List 1;25;;;;;;
84021200;List 1;25;;;;;;
84021900;List 1;25;;;;;;
84022000;List 1;25;;;;;;
84029000;List 1;25;;;;;;
84042000;List 1;25;;;;;;
84049000;List 1;25;;;;;;
84051000;List 1;25;;;;;;
84059000;List 1;25;;;;;;
84061010;List 1;25;;;;;;
84061090;List 1;25;;;;;;
84068190;List 1;25;;;;;;
84068290;List 1;25;;;;;;
84071000;List 1;25;;;;;;
84072100;List 1;25;;;;;;
84072900;List 1;25;;;;;;
84081000;List 1;25;;;;;;
84089010;List 1;25;;;;;;
84089090;List 1;25;;;;;;
84091000;List 1;25;;;;;;
84101100;List 1;25;;;;;;
84101200;List 1;25;;;;;;
84101300;List 1;25;;;;;;
84109000;List 1;25;;;;;;
84111140;List 1;25;;;;;;
84111180;List 1;25;;;;;;
84111240;List 1;25;;;;;;
84111280;List 1;25;;;;;;
84112140;List 1;25;;;;;;
84112180;List 1;25;;;;;;
84112240;List 1;25;;;;;;
84112280;List 1;25;;;;;;
84118140;List 1;25;;;;;;
84118180;List 1;25;;;;;;
84118240;List 1;25;;;;;;
84118280;List 1;25;;;;;;
84119110;List 1;25;;;;;;
84119190;List 1;25;;;;;;
84119910;List 1;25;;;;;;
84119990;List 1;25;;;;;;
84121000;List 1;25;;;;;;
84122100;List 1;25;;;;;;
84122940;List 1;25;;;;;;
84122980;List 1;25;;;;;;
84123100;List 1;25;;;;;;
84123900;List 1;25;;;;;;
84128010;List 1;25;;;;;;
84128090;List 1;25;;;;;;
84129010;List 1;25;;;;;;
84131900;List 1;25;;;;;;
84134000;List 1;25;;;;;;
84135000;List 1;25;;;;;;
84136000;List 1;25;;;;;;
84137010;List 1;25;;;;;;
84137020;List 1;25;;;;;;
84138100;List 1;25;;;;;;
84138200;List 1;25;;;;;;
84139110;List 1;25;;;;;;
84139120;List 1;25;;;;;;
84139190;List 1;25;;;;;;
84143040;List 1;25;;;;;;
84143080;List 1;25;;;;;;
84145930;List 1;25;;;;;;
84147000;List 1;25;;;;;;
84148005;List 1;25;;;;;;
84148020;List 1;25;;;;;;
84149030;List 1;25;;;;;;
84149041;List 1;25;;;;;;
84149091;List 1;25;;;;;;
84169000;List 1;25;;;;;;
84171000;List 1;25;;;;;;
84178000;List 1;25;;;;;;
84179000;List 1;25;;;;;;
84186901;List 1;25;;;;;;
84191100;List 1;25;;;;;;
84191200;List 1;25;;;;;;
84191901;List 1;25;;;;;;
84193310;List 1;25;;;;;;
84193350;List 1;25;;;;;;
84193400;List 1;25;;;;;;
84193510;List 1;25;;;;;;
84193550;List 1;25;;;;;;
84193902;List 1;25;;;;;;
84194000;List 1;25;;;;;;
84195010;List 1;25;;;;;;
84195050;List 1;25;;;;;;
84196050;List 1;25;;;;;;
84198960;List 1;25;;;;;;
84199010;List 1;25;;;;;;
84199020;List 1;25;;;;;;
84199030;List 1;25;;;;;;
84199050;List 1;25;;;;;;
84199085;List 1;25;;;;;;
84199095;List 1;25;;;;;;
84201090;List 1;25;;;;;;
84209110;List 1;25;;;;;;
84209120;List 1;25;;;;;;
84209190;List 1;25;;;;;;
84209920;List 1;25;;;;;;
84209990;List 1;25;;;;;;
84211900;List 1;25;;;;;;
84212100;List 1;25;;;;;;
84212200;List 1;25;;;;;;
84212900;List 1;25;;;;;;
84213200;List 1;25;;;;;;
84213901;List 1;25;;;;;;
84219160;List 1;25;;;;;;
84219901;List 1;25;;;;;;
84221900;List 1;25;;;;;;
84222000;List 1;25;;;;;;
84223011;List 1;25;;;;;;
84223091;List 1;25;;;;;;
84224011;List 1;25;;;;;;
84224091;List 1;25;;;;;;
84229006;List 1;25;;;;;;
84229091;List 1;25;;;;;;
84232010;List 1;25;;;;;;
84232090;List 1;25;;;;;;
84233000;List 1;25;;;;;;
84238200;List 1;25;;;;;;
84238910;List 1;25;;;;;;
84238990;List 1;25;;;;;;
84239010;List 1;25;;;;;;
84239090;List 1;25;;;;;;
84248910;List 1;25;;;;;;
84249020;List 1;25;;;;;;
84251100;List 1;25;;;;;;
84253901;List 1;25;;;;;;
84264100;List 1;25;;;;;;
84264900;List 1;25;;;;;;
84269900;List 1;25;;;;;;
84271040;List 1;25;;;;;;
84271080;List 1;25;;;;;;
84272040;List 1;25;;;;;;
84272080;List 1;25;;;;;;
84282000;List 1;25;;;;;;
84283100;List 1;25;;;;;;
84283200;List 1;25;;;;;;
84283300;List 1;25;;;;;;
84283900;List 1;25;;;;;;
84287000;List 1;25;;;;;;
84289003;List 1;25;;;;;;
84291100;List 1;25;;;;;;
84291900;List 1;25;;;;;;
84292000;List 1;25;;;;;;
84293000;List 1;25;;;;;;
84294000;List 1;25;;;;;;
84295110;List 1;25;;;;;;
84295150;List 1;25;;;;;;
84295210;List 1;25;;;;;;
84295250;List 1;25;;;;;;
84295910;List 1;25;;;;;;
84295950;List 1;25;;;;;;
84301000;List 1;25;;;;;;
84303100;List 1;25;;;;;;
84303900;List 1;25;;;;;;
84304100;List 1;25;;;;;;
84304980;List 1;25;;;;;;
84305050;List 1;25;;;;;;
84306100;List 1;25;;;;;;
84306901;List 1;25;;;;;;
84311000;List 1;25;;;;;;
84312000;List 1;25;;;;;;
84313100;List 1;25;;;;;;
84313900;List 1;25;;;;;;
84314100;List 1;25;;;;;;
84314200;List 1;25;;;;;;
84314340;List 1;25;;;;;;
84314380;List 1;25;;;;;;
84314910;List 1;25;;;;;;
84314990;List 1;25;;;;;;
84321000;List 1;25;;;;;;
84322100;List 1;25;;;;;;
84328000;List 1;25;;;;;;
84329000;List 1;25;;;;;;
84332000;List 1;25;;;;;;
84333000;List 1;25;;;;;;
84334000;List 1;25;;;;;;
84335100;List 1;25;;;;;;
84335200;List 1;25;;;;;;
84335300;List 1;25;;;;;;
84335900;List 1;25;;;;;;
84336000;List 1;25;;;;;;
84339050;List 1;25;;;;;;
84342000;List 1;25;;;;;;
84349000;List 1;25;;;;;;
84361000;List 1;25;;;;;;
84362100;List 1;25;;;;;;
84362900;List 1;25;;;;;;
84368000;List 1;25;;;;;;
84369100;List 1;25;;;;;;
84369900;List 1;25;;;;;;
84371000;List 1;25;;;;;;
84378000;List 1;25;;;;;;
84379000;List 1;25;;;;;;
84385000;List 1;25;;;;;;
84386000;List 1;25;;;;;;
84388000;List 1;25;;;;;;
84389090;List 1;25;;;;;;
84391000;List 1;25;;;;;;
84392000;List 1;25;;;;;;
84393000;List 1;25;;;;;;
84399110;List 1;25;;;;;;
84399190;List 1;25;;;;;;
84399910;List 1;25;;;;;;
84399950;List 1;25;;;;;;
84412000;List 1;25;;;;;;
84413000;List 1;25;;;;;;
84414000;List 1;25;;;;;;
84418000;List 1;25;;;;;;
84419000;List 1;25;;;;;;
84423001;List 1;25;;;;;;
84424000;List 1;25;;;;;;
84431110;List 1;25;;;;;;
84431150;List 1;25;;;;;;
84431200;List 1;25;;;;;;
84431300;List 1;25;;;;;;
84431400;List 1;25;;;;;;
84431700;List 1;25;;;;;;
84431930;List 1;25;;;;;;
84439110;List 1;25;;;;;;
84439920;List 1;25;;;;;;
84439945;List 1;25;;;;;;
84440000;List 1;25;;;;;;
84541000;List 1;25;;;;;;
84543000;List 1;25;;;;;;
84549000;List 1;25;;;;;;
84551000;List 1;25;;;;;;
84552100;List 1;25;;;;;;
84552200;List 1;25;;;;;;
84553000;List 1;25;;;;;;
84559080;List 1;25;;;;;;
84561110;List 1;25;;;;;;
84561170;List 1;25;;;;;;
84561190;List 1;25;;;;;;
84561210;List 1;25;;;;;;
84561270;List 1;25;;;;;;
84561290;List 1;25;;;;;;
84562010;List 1;25;;;;;;
84562050;List 1;25;;;;;;
84563010;List 1;25;;;;;;
84563050;List 1;25;;;;;;
84564010;List 1;25;;;;;;
84564090;List 1;25;;;;;;
84565000;List 1;25;;;;;;
84569031;List 1;25;;;;;;
84569071;List 1;25;;;;;;
84571000;List 1;25;;;;;;
84572000;List 1;25;;;;;;
84573000;List 1;25;;;;;;
84581100;List 1;25;;;;;;
84581900;List 1;25;;;;;;
84589110;List 1;25;;;;;;
84589150;List 1;25;;;;;;
84589910;List 1;25;;;;;;
84589950;List 1;25;;;;;;
84591000;List 1;25;;;;;;
84592100;List 1;25;;;;;;
84593100;List 1;25;;;;;;
84593900;List 1;25;;;;;;
84594100;List 1;25;;;;;;
84594900;List 1;25;;;;;;
84595100;List 1;25;;;;;;
84596100;List 1;25;;;;;;
84596900;List 1;25;;;;;;
84597040;List 1;25;;;;;;
84597080;List 1;25;;;;;;
84601200;List 1;25;;;;;;
84601901;List 1;25;;;;;;
84602200;List 1;25;;;;;;
84602300;List 1;25;;;;;;
