hts8;mfn_text_rate;mfn_rate_type_code;mfn_ad_val_rate;mfn_specific_rate;new_eu_rate
01012100;Free;0;0;0;15
01012900;Free;0;0;0;15
01019030;Free;0;0;0;15
01022100;Free;0;0;0;15
01022920;Free;0;0;0;15
01023100;Free;0;0;0;15
01031000;Free;0;0;0;15
01039100;Free;0;0;0;15
01039200;Free;0;0;0;15
01041000;Free;0;0;0;15
01061100;Free;0;0;0;15
01061201;Free;0;0;0;15
01061300;Free;0;0;0;15
01061400;Free;0;0;0;15
01061991;Free;0;0;0;15
01062000;Free;0;0;0;15
01064100;Free;0;0;0;15
01064900;Free;0;0;0;15
01069001;Free;0;0;0;15
02031100;Free;0;0;0;15
02031290;Free;0;0;0;15
02031940;Free;0;0;0;15
02032100;Free;0;0;0;15
02032290;Free;0;0;0;15
02032940;Free;0;0;0;15
02045000;Free;0;0;0;15
02050000;Free;0;0;0;15
02061000;Free;0;0;0;15
02062100;Free;0;0;0;15
02062200;Free;0;0;0;15
02062900;Free;0;0;0;15
02063000;Free;0;0;0;15
02064100;Free;0;0;0;15
02064900;Free;0;0;0;15
02068000;Free;0;0;0;15
02069000;Free;0;0;0;15
02089020;Free;0;0;0;15
02089025;Free;0;0;0;15
02102000;Free;0;0;0;15
03011100;Free;0;0;0;15
03011900;Free;0;0;0;15
03019100;Free;0;0;0;15
03019200;Free;0;0;0;15
03019302;Free;0;0;0;15
03019401;Free;0;0;0;15
03019500;Free;0;0;0;15
03019903;Free;0;0;0;15
03021100;Free;0;0;0;15
03021300;Free;0;0;0;15
03021400;Free;0;0;0;15
03021900;Free;0;0;0;15
03022100;Free;0;0;0;15
03022200;Free;0;0;0;15
03022400;Free;0;0;0;15
03022901;Free;0;0;0;15
03023100;Free;0;0;0;15
03023200;Free;0;0;0;15
03023300;Free;0;0;0;15
03023400;Free;0;0;0;15
03023501;Free;0;0;0;15
03023600;Free;0;0;0;15
03023902;Free;0;0;0;15
03024100;Free;0;0;0;15
03024200;Free;0;0;0;15
03024300;Free;0;0;0;15
03024400;Free;0;0;0;15
03024550;Free;0;0;0;15
03024650;Free;0;0;0;15
03024700;Free;0;0;0;15
03024900;Free;0;0;0;15
03025100;Free;0;0;0;15
03025200;Free;0;0;0;15
03025300;Free;0;0;0;15
03025450;Free;0;0;0;15
03025550;Free;0;0;0;15
03025650;Free;0;0;0;15
03025950;Free;0;0;0;15
03027150;Free;0;0;0;15
03027250;Free;0;0;0;15
03027350;Free;0;0;0;15
03027400;Free;0;0;0;15
03027950;Free;0;0;0;15
03028100;Free;0;0;0;15
03028200;Free;0;0;0;15
03028300;Free;0;0;0;15
03028450;Free;0;0;0;15
03028550;Free;0;0;0;15
03028950;Free;0;0;0;15
03029140;Free;0;0;0;15
03029200;Free;0;0;0;15
03029900;Free;0;0;0;15
03031100;Free;0;0;0;15
03031200;Free;0;0;0;15
03031300;Free;0;0;0;15
03031400;Free;0;0;0;15
03031901;Free;0;0;0;15
03032300;Free;0;0;0;15
03032400;Free;0;0;0;15
03032501;Free;0;0;0;15
03032600;Free;0;0;0;15
