hs_8digit;hs_8name;apr2_at_risk;apr2_exempt;sec232;;;;;;
1012100;Horses: Purebred breeding animals;1;0;0;;;;;;
1012900;Horses: Other;1;0;0;;;;;;
1013000;Asses;1;0;0;;;;;;
1019030;Imported for immediate slaughter;1;0;0;;;;;;
1019040;Other;1;0;0;;;;;;
1022100;Cattle: Purebred breeding animals;1;0;0;;;;;;
1022920;Cows imported specially for dairy purposes;1;0;0;;;;;;
1022940;Other;1;0;0;;;;;;
1023100;Buffalo: Purebred breeding animals;1;0;0;;;;;;
1023900;Buffalo: Other;1;0;0;;;;;;
1029000;Other;1;0;0;;;;;;
1031000;Purebred breeding animals;1;0;0;;;;;;
1039100;Other: Weighing less than 50 kg each;1;0;0;;;;;;
1039200;Other: Weighing 50 kg or more each;1;0;0;;;;;;
1041000;Sheep;1;0;0;;;;;;
1042000;Goats;1;0;0;;;;;;
1051100;Weighing not more than 185 g: Chickens;1;0;0;;;;;;
1051200;Weighing not more than 185 g: Turkeys;1;0;0;;;;;;
1051300;Weighing not more than 185 g: Ducks;1;0;0;;;;;;
1051400;Weighing not more than 185 g: Geese;1;0;0;;;;;;
1051500;Weighing not more than 185 g: Guinea fowls;1;0;0;;;;;;
1059400;Other: Chickens;1;0;0;;;;;;
1059900;Other: Other;1;0;0;;;;;;
1061100;Mammals: Primates;1;0;0;;;;;;
1061201;"Mammals: Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)";1;0;0;;;;;;
1061300;Mammals: Camels and other camelids (Camelidae);1;0;0;;;;;;
1061400;Mammals: Rabbits and hares;1;0;0;;;;;;
1061991;Other;1;0;0;;;;;;
1061930;Foxes;1;0;0;;;;;;
1062000;Reptiles (including snakes and turtles);1;0;0;;;;;;
1063100;Birds: Birds of prey;1;0;0;;;;;;
1063200;Birds: Psittaciformes (including parrots, parakeets, macaws and cockatoos);1;0;0;;;;;;
1063300;"Birds: Ostriches; emus (Dromaius novaehollandiae)";1;0;0;;;;;;
1063901;Birds: Other;1;0;0;;;;;;
1064100;Insects: Bees;1;0;0;;;;;;
1064900;Insects: Other;1;0;0;;;;;;
1069001;Other;1;0;0;;;;;;
2011010;Described in additional U.S. note 3 to this chapter and entered pursuant to its provisions;1;0;0;;;;;;
2011005;Described in general note 15 of the tariff schedule and entered pursuant to its provisions;1;0;0;;;;;;
2011050;Other ;1;0;0;;;;;;
2012050;Described in additional U.S. note 3 to this chapter and entered pursuant to its provisions: Other;1;0;0;;;;;;
2012080;Other ;1;0;0;;;;;;
2012002;Processed: High-quality beef cuts;1;0;0;;;;;;
2012004;Processed: Other;1;0;0;;;;;;
2012006;Described in general note 15 of the tariff schedule and entered pursuant to its provisions: Other;1;0;0;;;;;;
2012010;Processed: High-quality beef cuts;1;0;0;;;;;;
2012030;Processed: Other;1;0;0;;;;;;
2013050;Described in additional U.S. note 3 to this chapter and entered pursuant to its provisions: Other;1;0;0;;;;;;
2013080;Other ;1;0;0;;;;;;
2013002;Processed: High-quality beef cuts;1;0;0;;;;;;
2013004;Processed: Other;1;0;0;;;;;;
2013006;Described in general note 15 of the tariff schedule and entered pursuant to its provisions: Other;1;0;0;;;;;;
2013010;Processed: High-quality beef cuts;1;0;0;;;;;;
2013030;Processed: Other;1;0;0;;;;;;
2021010;Described in additional U.S. note 3 to this chapter and entered pursuant to its provisions;1;0;0;;;;;;
2021005;Described in general note 15 of the tariff schedule and entered pursuant to its provisions;1;0;0;;;;;;
2021050;Other ;1;0;0;;;;;;
2022050;Described in additional U.S. note 3 to this chapter and entered pursuant to its provisions: Other;1;0;0;;;;;;
2022002;Processed: High-quality beef cuts;1;0;0;;;;;;
2022004;Processed: Other;1;0;0;;;;;;
2022006;Described in general note 15 of the tariff schedule and entered pursuant to its provisions: Other;1;0;0;;;;;;
2022010;Processed: High-quality beef cuts;1;0;0;;;;;;
2022030;Processed: Other;1;0;0;;;;;;
2022080;Other ;1;0;0;;;;;;
2023050;Described in additional U.S. note 3 to this chapter and entered pursuant to its provisions: Other;1;0;0;;;;;;
2023002;Processed: High-quality beef cuts;1;0;0;;;;;;
2023004;Processed: Other;1;0;0;;;;;;
2023006;Described in general note 15 of the tariff schedule and entered pursuant to its provisions: Other;1;0;0;;;;;;
2023010;Processed: High-quality beef cuts;1;0;0;;;;;;
2023030;Processed: Other;1;0;0;;;;;;
2023080;Other ;1;0;0;;;;;;
2031100;Fresh or chilled: Carcasses and half-carcasses;1;0;0;;;;;;
2031290;Other;1;0;0;;;;;;
2031210;Processed;1;0;0;;;;;;
2031940;Other;1;0;0;;;;;;
2031920;Processed;1;0;0;;;;;;
2032100;Frozen: Carcasses and half-carcasses;1;0;0;;;;;;
2032210;Processed;1;0;0;;;;;;
2032290;Other;1;0;0;;;;;;
2032920;Processed;1;0;0;;;;;;
2032940;Other;1;0;0;;;;;;
2041000;Carcasses and half-carcasses of lamb, fresh or chilled;1;0;0;;;;;;
2042100;Other meat of sheep, fresh or chilled: Carcasses and half-carcasses ;1;0;0;;;;;;
2042220;Lamb;1;0;0;;;;;;
2042240;Other ;1;0;0;;;;;;
2042320;Lamb;1;0;0;;;;;;
2042340;Other ;1;0;0;;;;;;
2043000;Carcasses and half-carcasses of lamb, frozen;1;0;0;;;;;;
2044100;Other meat of sheep, frozen: Carcasses and half-carcasses ;1;0;0;;;;;;
2044220;Lamb;1;0;0;;;;;;
2044240;Other ;1;0;0;;;;;;
2044320;Lamb;1;0;0;;;;;;
2044340;Other ;1;0;0;;;;;;
2045000;Meat of goats;1;0;0;;;;;;
2050000;Meat of horses, asses, mules or hinnies, fresh, chilled or frozen;1;0;0;;;;;;
2061000;Of bovine animals, fresh or chilled;1;0;0;;;;;;
2062100;Of bovine animals, frozen: Tongues;1;0;0;;;;;;
2062200;Of bovine animals, frozen: Livers;1;0;0;;;;;;
2062900;Of bovine animals, frozen: Other;1;0;0;;;;;;
2063000;Of swine, fresh or chilled;1;0;0;;;;;;
2064100;Of swine, frozen: Livers;1;0;0;;;;;;
2064900;Of swine, frozen: Other;1;0;0;;;;;;
2068000;Other, fresh or chilled;1;0;0;;;;;;
2069000;Other, frozen;1;0;0;;;;;;
2071100;Of chickens: Not cut in pieces, fresh or chilled;1;0;0;;;;;;
2071200;Of chickens: Not cut in pieces, frozen;1;0;0;;;;;;
2071300;Of chickens: Cuts and offal, fresh or chilled;1;0;0;;;;;;
2071400;Of chickens: Cuts and offal, frozen;1;0;0;;;;;;
2072400;Of turkeys: Not cut in pieces, fresh or chilled;1;0;0;;;;;;
2072520;Valued less than 88¢/kg;1;0;0;;;;;;
2072540;Valued 88¢ or more per kg;1;0;0;;;;;;
2072600;Of turkeys: Cuts and offal, fresh or chilled;1;0;0;;;;;;
2072700;Of turkeys: Cuts and offal, frozen;1;0;0;;;;;;
2074100;Of ducks: Not cut in pieces, fresh or chilled;1;0;0;;;;;;
2074200;Of ducks: Not cut in pieces, frozen;1;0;0;;;;;;
2074300;Of ducks: Fatty livers, fresh or chilled;1;0;0;;;;;;
2074400;Of ducks: Other, fresh or chilled;1;0;0;;;;;;
2074500;Of ducks: Other, frozen;1;0;0;;;;;;
2075100;Of geese: Not cut in pieces, fresh or chilled;1;0;0;;;;;;
2075200;Of geese: Not cut in pieces, frozen;1;0;0;;;;;;
2075300;Of geese: Fatty livers, fresh or chilled;1;0;0;;;;;;
2075400;Of geese: Other, fresh or chilled;1;0;0;;;;;;
2075500;Of geese: Other, frozen;1;0;0;;;;;;
2076060;Other, frozen;1;0;0;;;;;;
2076010;Not cut in pieces, fresh or chilled;1;0;0;;;;;;
2076020;Not cut in pieces, frozen;1;0;0;;;;;;
2076030;Fatty livers, fresh or chilled;1;0;0;;;;;;
2076040;Other, fresh or chilled;1;0;0;;;;;;
2081000;Of rabbits or hares;1;0;0;;;;;;
2083000;Of primates;1;0;0;;;;;;
2084001;"Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia).";1;0;0;;;;;;
2085000;Of reptiles (including snakes and turtles);1;0;0;;;;;;
2086000;Of camels and other camelids (Camelidae);1;0;0;;;;;;
2089020;Deer;1;0;0;;;;;;
2089025;Frogsʼ legs;1;0;0;;;;;;
2089030;Quail, eviscerated, not in pieces;1;0;0;;;;;;
2089091;Other;1;0;0;;;;;;
2091000;Of pigs;1;0;0;;;;;;
2099000;Other;1;0;0;;;;;;
2101100;Meat of swine: Hams, shoulders and cuts thereof, with bone in;1;0;0;;;;;;
2101200;Meat of swine: Bellies (streaky) and cuts thereof;1;0;0;;;;;;
2101900;Meat of swine: Other;1;0;0;;;;;;
2102000;Meat of bovine animals;1;0;0;;;;;;
2109100;Other, including edible flours and meals of meat or meat offal: Of primates;1;0;0;;;;;;
2109201;"Other, including edible flours and meals of meat or meat offal: Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia)";1;0;0;;;;;;
2109300;Other, including edible flours and meals of meat or meat offal: Of reptiles (including snakes and turtles);1;0;0;;;;;;
2109920;Meat of poultry of heading 0105;1;0;0;;;;;;
2109991;Other;1;0;0;;;;;;
3011100;Ornamental fish: Freshwater;1;0;0;;;;;;
3011900;Ornamental fish: Other;1;0;0;;;;;;
3019100;Other live fish: Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster);1;0;0;;;;;;
3019200;Other live fish: Eels (Anguilla spp.);1;0;0;;;;;;
3019302;Other live fish: Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.);1;0;0;;;;;;
3019401;Other live fish: Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis);1;0;0;;;;;;
3019500;Other live fish: Southern Bluefin tunas (Thunnus maccoyii);1;0;0;;;;;;
3019903;Other live fish: Other;1;0;0;;;;;;
3021100;Salmonidae, excluding edible fish offal of subheadings 0302.91 to 0302.99: Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache  and Oncorhynchus chrysogaster);1;0;0;;;;;;
3021300;Salmonidae, excluding edible fish offal of subheadings 0302.91 to 0302.99: Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus);1;0;0;;;;;;
3021400;Salmonidae, excluding edible fish offal of subheadings 0302.91 to 0302.99: Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho);1;0;0;;;;;;
3021900;Salmonidae, excluding edible fish offal of subheadings 0302.91 to 0302.99: Other;1;0;0;;;;;;
3022100;Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae), excluding edible fish offal of subheadings 0302.91 to 0302.99: Halibut and Greenland turbot (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis);1;0;0;;;;;;
3022200;Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae), excluding edible fish offal of subheadings 0302.91 to 0302.99: Plaice (Pleuronectes platessa);1;0;0;;;;;;
3022300;Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae), excluding edible fish offal of subheadings 0302.91 to 0302.99: Sole (Solea spp.);1;0;0;;;;;;
3022400;Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae), excluding edible fish offal of subheadings 0302.91 to 0302.99: Turbots (Psetta maxima);1;0;0;;;;;;
3022901;Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae), excluding edible fish offal of subheadings 0302.91 to 0302.99: Other;1;0;0;;;;;;
3023100;Tunas (of the genus Thunnus), skipjack tuna (stripe-bellied bonito)(Katsuwonus pelamis), excluding edible fish offal of subheadings 0302.91 to 0302.99: Albacore or longfinned tunas (Thunnus alalunga);1;0;0;;;;;;
3023200;Tunas (of the genus Thunnus), skipjack tuna (stripe-bellied bonito)(Katsuwonus pelamis), excluding edible fish offal of subheadings 0302.91 to 0302.99: Yellowfin tunas (Thunnus albacares);1;0;0;;;;;;
3023300;Tunas (of the genus Thunnus), skipjack tuna (stripe-bellied bonito)(Katsuwonus pelamis), excluding edible fish offal of subheadings 0302.91 to 0302.99: Skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis);1;0;0;;;;;;
3023400;Tunas (of the genus Thunnus), skipjack tuna (stripe-bellied bonito)(Katsuwonus pelamis), excluding edible fish offal of subheadings 0302.91 to 0302.99: Bigeye tunas (Thunnus obesus);1;0;0;;;;;;
3023501;Tunas (of the genus Thunnus), skipjack tuna (stripe-bellied bonito)(Katsuwonus pelamis), excluding edible fish offal of subheadings 0302.91 to 0302.99: Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis);1;0;0;;;;;;
3023600;Tunas (of the genus Thunnus), skipjack tuna (stripe-bellied bonito)(Katsuwonus pelamis), excluding edible fish offal of subheadings 0302.91 to 0302.99: Southern bluefin tunas (Thunnus maccoyii);1;0;0;;;;;;
3023902;Tunas (of the genus Thunnus), skipjack tuna (stripe-bellied bonito)(Katsuwonus pelamis), excluding edible fish offal of subheadings 0302.91 to 0302.99: Other;1;0;0;;;;;;
3024100;Herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp.), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae), excluding edible fish offal of subheadings 0302.91 to 0302.99: Herrings (Clupea harengus, Clupea pallasii);1;0;0;;;;;;
3024200;Herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp.), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae), excluding edible fish offal of subheadings 0302.91 to 0302.99: Anchovies (Engraulis spp.);1;0;0;;;;;;
