data_type;exporter;iso2;un_code;hs_8digit;hs_8digit_name;us_imports
2025 New Combination;Afghanistan;AF;4;94059940;;0
2025 New Combination;Afghanistan;AF;4;62114210;;0
2025 New Combination;Afghanistan;AF;4;57033910;;0
2025 New Combination;Afghanistan;AF;4;08129030;;0
2025 New Combination;Afghanistan;AF;4;20079925;;0
2025 New Combination;Afghanistan;AF;4;62044950;;0
2025 New Combination;Afghanistan;AF;4;08041060;;0
2025 New Combination;Afghanistan;AF;4;84122100;;0
2025 New Combination;Afghanistan;AF;4;39199050;;0
2025 New Combination;Afghanistan;AF;4;90069100;;0
2025 New Combination;Afghanistan;AF;4;94049096;;0
2025 New Combination;Afghanistan;AF;4;17024040;;0
2025 New Combination;Afghanistan;AF;4;71162005;;0
2025 New Combination;Afghanistan;AF;4;57029920;;0
2025 New Combination;Afghanistan;AF;4;63026000;;0
2025 New Combination;Afghanistan;AF;4;39173100;;0
2025 New Combination;Afghanistan;AF;4;09023000;;0
2025 New Combination;Afghanistan;AF;4;71049950;;0
2025 New Combination;Afghanistan;AF;4;62099090;;0
2025 New Combination;Afghanistan;AF;4;62113930;;0
2025 New Combination;Afghanistan;AF;4;84661001;;0
2025 New Combination;Afghanistan;AF;4;62034245;;0
2025 New Combination;Afghanistan;AF;4;62105080;;0
2025 New Combination;Afghanistan;AF;4;84799095;;0
2025 New Combination;Afghanistan;AF;4;20019060;;0
2025 New Combination;Afghanistan;AF;4;94044090;;0
2025 New Combination;Afghanistan;AF;4;63031921;;0
2025 New Combination;Afghanistan;AF;4;76151050;;0
2025 New Combination;Afghanistan;AF;4;39269060;;0
2025 New Combination;Afghanistan;AF;4;63025910;;0
2025 New Combination;Afghanistan;AF;4;39249056;;0
2025 New Combination;Afghanistan;AF;4;08023100;;0
2025 New Combination;Afghanistan;AF;4;35030055;;0
2025 New Combination;Afghanistan;AF;4;07122040;;0
2025 New Combination;Afghanistan;AF;4;19053100;;0
2025 New Combination;Afghanistan;AF;4;40161000;;0
2025 New Combination;Afghanistan;AF;4;65050030;;0
2025 New Combination;Afghanistan;AF;4;39191020;;0
2025 New Combination;Afghanistan;AF;4;63023190;;0
2025 New Combination;Afghanistan;AF;4;07133941;;0
2025 New Combination;Afghanistan;AF;4;84514000;;0
2025 New Combination;Afghanistan;AF;4;64035130;;0
2025 New Combination;Afghanistan;AF;4;62171095;;0
2025 New Combination;Afghanistan;AF;4;76151071;;0
2025 New Combination;Afghanistan;AF;4;87089981;;0
2025 New Combination;Afghanistan;AF;4;64039990;;0
2025 New Combination;Afghanistan;AF;4;94041000;;0
2025 New Combination;Afghanistan;AF;4;62022040;;0
2025 New Combination;Afghanistan;AF;4;62179090;;0
2025 New Combination;Afghanistan;AF;4;40169350;;0
2025 New Combination;Afghanistan;AF;4;84289003;;0
2025 New Combination;Afghanistan;AF;4;62053020;;0
2025 New Combination;Afghanistan;AF;4;97019900;;0
2025 New Combination;Afghanistan;AF;4;17019950;;0
2025 New Combination;Afghanistan;AF;4;74181000;;0
2025 New Combination;Afghanistan;AF;4;97019100;;0
2025 New Combination;Afghanistan;AF;4;96031090;;0
2025 New Combination;Afghanistan;AF;4;44199091;;0
2025 New Combination;Afghanistan;AF;4;63025120;;0
2025 New Combination;Afghanistan;AF;4;84484920;;0
2025 New Combination;Afghanistan;AF;4;57029140;;0
2025 New Combination;Afghanistan;AF;4;64069090;;0
2025 New Combination;Afghanistan;AF;4;63023130;;0
2025 New Combination;Afghanistan;AF;4;82076000;;0
2025 New Combination;Afghanistan;AF;4;62044910;;0
